s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0750800E-001, 9.6873005E+000,-3.1461932E+000,-2.4057362E-002,-1.7571847E-001, 2.2302537E-004, 0.0000000E+000, 0.0000000E+000, 5.6534962E+000, 6.3415545E+000, 0.0000000E+000, 5.2436832E-004, 0.0000000E+000, 0.0000000E+000
 1.2084535E+000, 1.1315304E+001,-1.9056006E+000,-5.6025203E-002,-1.4148211E-001, 3.1301402E-004, 0.0000000E+000, 0.0000000E+000, 9.0516028E+000, 9.2125086E+000, 0.0000000E+000, 5.2443535E-004, 0.0000000E+000, 0.0000000E+000
 1.8025973E+000, 1.1060027E+001,-1.8287456E+000,-5.4179344E-002,-1.7958455E-001, 3.0892318E-004, 0.0000000E+000, 0.0000000E+000, 8.7661214E+000, 8.9978266E+000, 0.0000000E+000, 5.2529391E-004, 0.0000000E+000, 0.0000000E+000
 2.4012685E+000, 1.1054439E+001,-1.8400161E+000,-5.9740715E-002,-2.9334318E-001, 3.2144914E-004, 0.0000000E+000, 0.0000000E+000, 8.7930291E+000, 8.8616605E+000, 0.0000000E+000, 5.2637093E-004, 0.0000000E+000, 0.0000000E+000
 3.0068474E+000, 1.1062705E+001,-1.8631893E+000,-5.7866519E-002,-4.7705137E-001, 3.2159129E-004, 0.0000000E+000, 0.0000000E+000, 8.5753889E+000, 8.6649195E+000, 0.0000000E+000, 5.2746711E-004, 0.0000000E+000, 0.0000000E+000
 3.6026766E+000, 1.1079168E+001,-1.8797153E+000,-5.7616256E-002,-5.7753123E-001, 3.2158975E-004, 0.0000000E+000, 0.0000000E+000, 8.4188598E+000, 8.5646266E+000, 0.0000000E+000, 5.2855865E-004, 0.0000000E+000, 0.0000000E+000
 4.2044048E+000, 1.1105211E+001,-1.8988336E+000,-5.6583753E-002,-6.7934905E-001, 3.1910792E-004, 0.0000000E+000, 0.0000000E+000, 8.2525049E+000, 8.4707637E+000, 0.0000000E+000, 5.2964200E-004, 0.0000000E+000, 0.0000000E+000
 4.8014035E+000, 1.1134644E+001,-1.9074547E+000,-5.6095862E-002,-7.8034395E-001, 3.2295398E-004, 0.0000000E+000, 0.0000000E+000, 8.0950063E+000, 8.3910723E+000, 0.0000000E+000, 5.3073310E-004, 0.0000000E+000, 0.0000000E+000
 5.4019365E+000, 1.1140703E+001,-1.9248660E+000,-5.5330921E-002,-8.5679298E-001, 3.2094426E-004, 0.0000000E+000, 0.0000000E+000, 8.0408943E+000, 8.3040337E+000, 0.0000000E+000, 5.3181750E-004, 0.0000000E+000, 0.0000000E+000
 6.0082583E+000, 1.1173474E+001,-1.9398282E+000,-5.3132303E-002,-9.1376938E-001, 3.1972717E-004, 0.0000000E+000, 0.0000000E+000, 7.9826267E+000, 8.2670637E+000, 0.0000000E+000, 5.3291453E-004, 0.0000000E+000, 0.0000000E+000
 6.6065831E+000, 1.1203705E+001,-1.9620833E+000,-5.4252802E-002,-1.0110473E+000, 3.1317552E-004, 0.0000000E+000, 0.0000000E+000, 7.8747938E+000, 8.1766346E+000, 0.0000000E+000, 5.3400953E-004, 0.0000000E+000, 0.0000000E+000
