s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.4812193E-002,-1.4000050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4812194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0743135E-001, 9.6966650E+000,-3.1497219E+000,-2.4065483E-002,-1.7581888E-001, 2.2325565E-004, 0.0000000E+000, 0.0000000E+000, 5.6580583E+000, 6.3472820E+000, 0.0000000E+000, 5.2495425E-004, 0.0000000E+000, 0.0000000E+000
 1.2080394E+000, 1.1346966E+001,-1.9114780E+000,-5.6171534E-002,-1.4183875E-001, 3.1383994E-004, 0.0000000E+000, 0.0000000E+000, 9.0762067E+000, 9.2377919E+000, 0.0000000E+000, 5.2602432E-004, 0.0000000E+000, 0.0000000E+000
 1.8013853E+000, 1.1098038E+001,-1.8353227E+000,-5.4366739E-002,-1.8015850E-001, 3.0986555E-004, 0.0000000E+000, 0.0000000E+000, 8.7957525E+000, 9.0285002E+000, 0.0000000E+000, 5.2709526E-004, 0.0000000E+000, 0.0000000E+000
 2.4062235E+000, 1.1092147E+001,-1.8466246E+000,-5.9898196E-002,-2.9540714E-001, 3.2243036E-004, 0.0000000E+000, 0.0000000E+000, 8.8211307E+000, 8.8905396E+000, 0.0000000E+000, 5.2817627E-004, 0.0000000E+000, 0.0000000E+000
 3.0034609E+000, 1.1101172E+001,-1.8699403E+000,-5.8089130E-002,-4.7928353E-001, 3.2261901E-004, 0.0000000E+000, 0.0000000E+000, 8.6046900E+000, 8.6941812E+000, 0.0000000E+000, 5.2926618E-004, 0.0000000E+000, 0.0000000E+000
 3.6054595E+000, 1.1115774E+001,-1.8858729E+000,-5.7785814E-002,-5.7969618E-001, 3.2256498E-004, 0.0000000E+000, 0.0000000E+000, 8.4471489E+000, 8.5927417E+000, 0.0000000E+000, 5.3035136E-004, 0.0000000E+000, 0.0000000E+000
 4.2025681E+000, 1.1143480E+001,-1.9057361E+000,-5.6793038E-002,-6.8257267E-001, 3.2008352E-004, 0.0000000E+000, 0.0000000E+000, 8.2809067E+000, 8.4986986E+000, 0.0000000E+000, 5.3143221E-004, 0.0000000E+000, 0.0000000E+000
 4.8014288E+000, 1.1173074E+001,-1.9141531E+000,-5.6225651E-002,-7.8387208E-001, 3.2392154E-004, 0.0000000E+000, 0.0000000E+000, 8.1231349E+000, 8.4191476E+000, 0.0000000E+000, 5.3251482E-004, 0.0000000E+000, 0.0000000E+000
 5.4018712E+000, 1.1176171E+001,-1.9318750E+000,-5.5517155E-002,-8.5904493E-001, 3.2178073E-004, 0.0000000E+000, 0.0000000E+000, 8.0661817E+000, 8.3300556E+000, 0.0000000E+000, 5.3359858E-004, 0.0000000E+000, 0.0000000E+000
 6.0051160E+000, 1.1212672E+001,-1.9470098E+000,-5.3311675E-002,-9.1707105E-001, 3.2047693E-004, 0.0000000E+000, 0.0000000E+000, 8.0076895E+000, 8.2955995E+000, 0.0000000E+000, 5.3468757E-004, 0.0000000E+000, 0.0000000E+000
 6.6065993E+000, 1.1238982E+001,-1.9683878E+000,-5.4498280E-002,-1.0155590E+000, 3.1436359E-004, 0.0000000E+000, 0.0000000E+000, 7.9064645E+000, 8.2008515E+000, 0.0000000E+000, 5.3577829E-004, 0.0000000E+000, 0.0000000E+000
